# zero pos			 zero force
-0.00732			0.16513
-0.00488			0.10230
-0.00488			0.06237
-0.00488			0.02187
-0.00488			-0.01165
-0.00488			-0.04115
-0.00488			-0.07433
-0.00488			-0.09951
-0.00488			-0.12852
-0.00488			-0.15262
-0.00488			-0.17726
-0.00488			-0.19252
-0.00488			-0.21319
-0.00488			-0.23934
-0.00488			-0.25512
-0.00488			-0.26638
-0.00488			-0.28867
-0.00488			-0.29715
-0.00488			-0.31266
-0.00488			-0.32892
-0.00488			-0.34173
-0.00488			-0.36196
-0.00488			-0.36321
-0.00488			-0.37120
-0.00488			-0.35521
-0.00488			-0.35829
-0.00488			-0.34575
-0.00488			-0.33176
-0.00488			-0.32592
-0.00488			-0.30893
-0.00488			-0.29561
-0.00488			-0.27889
-0.00488			-0.26338
-0.00488			-0.24277
-0.00488			-0.22275
-0.00488			-0.19898
-0.00488			-0.17450
-0.00488			-0.14970
-0.00488			-0.11342
-0.00488			-0.07390
-0.00488			-0.04367
-0.00488			-0.00042
-0.00488			0.06156
-0.00488			0.15900
