# t_rise 			 pos 			 t_fall			 pos
369890.00000			4.00000			371486.00000			4.00000
372796.00000			-4.00000			374389.00000			-4.00000
377055.00000			4.00000			378699.00000			4.00000
380009.00000			-4.00000			381603.00000			-4.00000
384349.00000			4.25000			385915.00000			4.25000
387279.00000			-4.25000			388906.00000			-4.25000
391609.00000			4.25000			393218.00000			4.25000
394581.00000			-4.25000			396209.00000			-4.25000
398959.00000			4.50000			400606.00000			4.50000
401994.00000			-4.50000			403597.00000			-4.50000
406304.00000			4.50000			407907.00000			4.50000
409295.00000			-4.50000			410898.00000			-4.50000
413680.00000			4.75000			415297.00000			4.75000
416741.00000			-4.75000			418376.00000			-4.75000
421115.00000			4.75000			422688.00000			4.75000
424132.00000			-4.75000			425767.00000			-4.75000
428561.00000			5.00000			430165.00000			5.00000
431640.00000			-5.00000			433246.00000			-5.00000
436086.00000			5.00000			437646.00000			5.00000
439119.00000			-5.00000			440725.00000			-5.00000
443632.00000			5.25000			445213.00000			5.25000
446725.00000			-5.25000			448294.00000			-5.25000
451220.00000			5.50000			452782.00000			5.50000
454329.00000			-5.50000			455950.00000			-5.50000
458899.00000			5.75000			460525.00000			5.75000
462128.00000			-5.75000			463694.00000			-5.75000
466650.00000			6.00000			468270.00000			6.00000
469902.00000			-6.00000			471524.00000			-6.00000
474586.00000			6.25000			476187.00000			6.25000
477833.00000			-6.25000			479443.00000			-6.25000
482442.00000			6.50000			484019.00000			6.50000
485706.00000			-6.50000			487274.00000			-6.50000
490373.00000			6.75000			491937.00000			6.75000
493656.00000			-6.75000			495280.00000			-6.75000
498397.00000			7.00000			500031.00000			7.00000
501797.00000			-7.00000			503373.00000			-7.00000
506509.00000			7.25000			508125.00000			7.25000
509917.00000			-7.25000			511557.00000			-7.25000
514703.00000			7.50000			516306.00000			7.50000
518116.00000			-7.50000			519737.00000			-7.50000
522984.00000			7.75000			524575.00000			7.75000
526428.00000			-7.75000			528007.00000			-7.75000
531265.00000			8.00000			532845.00000			8.00000
534721.00000			-8.00000			536365.00000			-8.00000
539654.00000			8.25000			541291.00000			8.25000
543216.00000			-8.25000			544809.00000			-8.25000
548093.00000			8.50000			549738.00000			8.50000
551675.00000			-8.50000			553256.00000			-8.50000
556570.00000			8.75000			558184.00000			8.75000
560146.00000			-8.75000			561791.00000			-8.75000
565105.00000			9.00000			566718.00000			9.00000
568716.00000			-9.00000			570324.00000			-9.00000
573669.00000			9.25000			575251.00000			9.25000
577286.00000			-9.25000			578857.00000			-9.25000
582290.00000			9.50000			583871.00000			9.50000
585931.00000			-9.50000			587566.00000			-9.50000
591022.00000			9.75000			592667.00000			9.75000
594745.00000			-9.75000			596361.00000			-9.75000
599836.00000			10.00000			601463.00000			10.00000
603590.00000			-10.00000			605159.00000			-10.00000
608634.00000			10.25000			610261.00000			10.25000
612382.00000			-10.25000			613957.00000			-10.25000
617445.00000			10.50000			619060.00000			10.50000
621217.00000			-10.50000			622842.00000			-10.50000
626354.00000			10.75000			627944.00000			10.75000
630143.00000			-10.75000			631727.00000			-10.75000
635244.00000			11.00000			636828.00000			11.00000
639034.00000			-11.00000			640611.00000			-11.00000
